workload,metric,metric_label,unit,n,valid_count,original_mean,original_std,original_ci95_half,original_min,original_max,thermal_sa_tas_mean,thermal_sa_tas_std,thermal_sa_tas_ci95_half,thermal_sa_tas_min,thermal_sa_tas_max,delta_mean,delta_std,delta_ci95_half,delta_min,delta_max,relative_change_pct_mean,relative_change_pct_std,relative_change_pct_ci95_half,relative_change_pct_min,relative_change_pct_max
VOPD,total_PE_optical_energy_mJ,total PE+optical energy,mJ,10,10,0.7507385223064373,0.0,0.0,0.7507385223064373,0.7507385223064373,0.7431439609035625,0.005441477796056581,0.0038925987199966575,0.7373896456070562,0.7563155048332689,-0.007594561402874867,0.005441477796056581,0.0038925987199966575,-0.013348876699381118,0.0055769825268315865,-1.0116120562912727,0.7248166484569274,0.5185025950230608,-1.7780993385513735,0.7428661725920024
HNN,TR2_composite_cost,TR2 composite cost,cost,10,10,6.000000000000001,0.0,0.0,6.000000000000001,6.000000000000001,5.690326270478526,0.19301401621491635,0.13807390944498216,5.41786078278354,6.011385173675362,-0.3096737295214754,0.19301401621491635,0.13807390944498216,-0.5821392172164606,0.01138517367536096,-5.161228825357923,3.216900270248605,2.3012318240830356,-9.702320286941008,0.1897528945893493
HNN,T_max_C,T_max,C,10,10,55.66757624162,0.0,0.0,55.66757624162,55.66757624162,57.45798138205801,0.5407916097617952,0.3868590127243086,56.780015583220006,58.34023718635001,1.7904051404380141,0.5407916097617952,0.3868590127243086,1.112439341600009,2.672660944730012,3.216244107102715,0.9714660602691573,0.6949449551120794,1.9983613742613264,4.8011088773284705
HNN,sigma_T_K,sigma_T,K,10,10,2.454372247071413,0.0,0.0,2.454372247071413,2.454372247071413,1.847558799476422,0.09632701045181938,0.06890819215647459,1.7108311181483105,1.988533466322021,-0.6068134475949909,0.09632701045181938,0.06890819215647459,-0.7435411289231024,-0.4658387807493918,-24.723774004495375,3.924710710315354,2.8075689104901134,-30.294554129281114,-18.979956333243106
HNN,N_hot,N_hot,count,10,10,16.0,0.0,0.0,16.0,16.0,13.0,0.816496580927726,0.5840864678533121,12.0,14.0,-3.0,0.816496580927726,0.5840864678533121,-4.0,-2.0,-18.75,5.103103630798287,3.6505404240832,-25.0,-12.5
HNN,makespan_us,makespan,us,10,10,203.177525,0.0,0.0,203.177525,203.177525,208.410392,11.921788452748144,8.528333700979015,197.3466,229.7209,5.232866999999999,11.921788452748144,8.528333700979015,-5.830925000000008,26.543374999999997,2.5755146884479467,5.867670871937309,4.197478880097106,-2.869867127281921,13.064129509403166
HNN,DVFS_penalty_pct,DVFS penalty,%,10,10,11.14198573637825,0.0,0.0,11.14198573637825,11.14198573637825,8.88111509619808,1.4022474309345176,1.0031073835732598,6.888225183639244,11.042064600961563,-2.2608706401801717,1.4022474309345176,1.0031073835732598,-4.253760552739007,-0.09992113541668779,-20.291451574906407,12.585256022687425,9.002949809010651,-38.17775981215454,-0.8967982708005832
HNN,comm_cost,comm cost,byte-hop,10,10,2195456.0,0.0,0.0,2195456.0,2195456.0,1896448.0,193636.80854860443,138519.42824186027,1515520.0,2129920.0,-299008.0,193636.80854860443,138519.42824186027,-679936.0,-65536.0,-13.619402985074627,8.819890198145826,6.309369362987018,-30.970149253731343,-2.9850746268656714
HNN,congestion_proxy,congestion proxy,byte-hop,10,10,163840.0,0.0,0.0,163840.0,163840.0,169574.4,26205.86527732548,18746.5467025975,147456.0,221184.0,5734.4,26205.86527732548,18746.5467025975,-16384.0,57344.0,3.5,15.994790818680103,11.441984071409609,-10.0,35.0
HNN,load_imbalance,load imbalance,ratio,10,10,0.3028095733610822,0.0,0.0,0.3028095733610822,0.3028095733610822,0.2497398543184183,0.05624069134588221,0.0402321669498239,0.15920915712799166,0.32362122788761705,-0.0530697190426639,0.05624069134588221,0.0402321669498239,-0.14360041623309056,0.02081165452653483,-17.525773195876294,18.57295683278103,13.286292934288923,-47.422680412371136,6.872852233676966
HNN,total_PE_optical_energy_mJ,total PE+optical energy,mJ,10,10,4.651317011228462,0.0,0.0,4.651317011228462,4.651317011228462,4.628215117934071,0.09884073592818736,0.07070640303566335,4.525268221483814,4.819974016167746,-0.023101893294391208,0.09884073592818736,0.07070640303566335,-0.12604878974464828,0.16865700493928326,-0.49667423739603916,2.125005362773209,1.5201372614460662,-2.709959124273008,3.626005377232698
