Time(ns),ComponentType,ComponentID,EventType,Value
413000.00,PE,0,IDLE,0.62
414000.00,PE,0,IDLE,0.62
415000.00,PE,0,IDLE,0.62
416000.00,PE,0,IDLE,0.62
417000.00,PE,0,IDLE,0.62
418000.00,PE,0,IDLE,0.62
419000.00,PE,0,IDLE,0.62
420000.00,PE,0,IDLE,0.62
421000.00,PE,0,IDLE,0.62
422000.00,PE,0,IDLE,0.62
423000.00,PE,0,IDLE,0.62
424000.00,PE,0,IDLE,0.62
425000.00,PE,0,IDLE,0.62
426000.00,PE,0,IDLE,0.62
427000.00,PE,0,IDLE,0.62
428000.00,PE,0,IDLE,0.62
429000.00,PE,0,IDLE,0.62
430000.00,PE,0,IDLE,0.62
431000.00,PE,0,IDLE,0.62
432000.00,PE,0,IDLE,0.62
433000.00,PE,0,IDLE,0.62
434000.00,PE,0,IDLE,0.62
435000.00,PE,0,IDLE,0.62
436000.00,PE,0,IDLE,0.62
437000.00,PE,0,IDLE,0.62
438000.00,PE,0,IDLE,0.62
439000.00,PE,0,IDLE,0.62
440000.00,PE,0,IDLE,0.62
441000.00,PE,0,IDLE,0.62
442000.00,PE,0,IDLE,0.62
443000.00,PE,0,IDLE,0.62
444000.00,PE,0,IDLE,0.62
445000.00,PE,0,IDLE,0.62
446000.00,PE,0,IDLE,0.62
447000.00,PE,0,IDLE,0.62
448000.00,PE,0,IDLE,0.62
449000.00,PE,0,IDLE,0.62
450000.00,PE,0,IDLE,0.62
451000.00,PE,0,IDLE,0.62
452000.00,PE,0,IDLE,0.62
453000.00,PE,0,IDLE,0.62
454000.00,PE,0,IDLE,0.62
455000.00,PE,0,IDLE,0.62
456000.00,PE,0,IDLE,0.62
457000.00,PE,0,IDLE,0.62
458000.00,PE,0,IDLE,0.62
459000.00,PE,0,IDLE,0.62
460000.00,PE,0,IDLE,0.62
461000.00,PE,0,IDLE,0.62
462000.00,PE,0,IDLE,0.62
463000.00,PE,0,IDLE,0.62
464000.00,PE,0,IDLE,0.62
465000.00,PE,0,IDLE,0.62
466000.00,PE,0,IDLE,0.62
467000.00,PE,0,IDLE,0.62
468000.00,PE,0,IDLE,0.62
469000.00,PE,0,IDLE,0.62
470000.00,PE,0,IDLE,0.62
471000.00,PE,0,IDLE,0.62
472000.00,PE,0,IDLE,0.62
473000.00,PE,0,IDLE,0.62
474000.00,PE,0,IDLE,0.62
475000.00,PE,0,IDLE,0.62
476000.00,PE,0,IDLE,0.62
477000.00,PE,0,IDLE,0.62
478000.00,PE,0,IDLE,0.62
479000.00,PE,0,IDLE,0.62
480000.00,PE,0,IDLE,0.62
481000.00,PE,0,IDLE,0.62
482000.00,PE,0,IDLE,0.62
483000.00,PE,0,IDLE,0.62
484000.00,PE,0,IDLE,0.62
485000.00,PE,0,IDLE,0.62
486000.00,PE,0,IDLE,0.62
487000.00,PE,0,IDLE,0.62
488000.00,PE,0,IDLE,0.62
489000.00,PE,0,IDLE,0.62
490000.00,PE,0,IDLE,0.62
491000.00,PE,0,IDLE,0.62
492000.00,PE,0,IDLE,0.62
493000.00,PE,0,IDLE,0.62
494000.00,PE,0,IDLE,0.62
495000.00,PE,0,IDLE,0.62
496000.00,PE,0,IDLE,0.62
497000.00,PE,0,IDLE,0.62
498000.00,PE,0,IDLE,0.62
499000.00,PE,0,IDLE,0.62
500000.00,PE,0,IDLE,0.62
501000.00,PE,0,IDLE,0.62
