figure,workload,method,method_family,source_root,ablation,seed,seed_type,selection_policy,source_objective_name,stored_TR2_composite_cost,full_objective_comparable_score,reference_full_objective_comparable_score,delta_vs_reference,relative_change_pct_vs_reference,valid,validity_notes,metrics_path
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,baseline_normalized_v2,1.166108540420086,7.316525786126099,6.000000000000001,1.316525786126098,21.942096435434966,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,baseline_normalized_v2,1.415922588345453,6.535477323931708,6.000000000000001,0.5354773239317074,8.924622065528464,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,baseline_normalized_v2,1.6134505185152117,6.741164933233553,5.0,1.741164933233553,34.823298664671064,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,42,ga_seed,,baseline_normalized_v2,1.2956817603949338,10.04198474655604,6.000000000000001,4.041984746556039,67.36641244260065,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_42\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,43,ga_seed,,baseline_normalized_v2,1.1612762196403508,7.271100431485007,6.000000000000001,1.2711004314850065,21.185007191416783,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_43\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,43,ga_seed,,baseline_normalized_v2,1.3025656634660914,6.495826097869591,6.000000000000001,0.49582609786958987,8.263768297826491,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_43\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,43,ga_seed,,baseline_normalized_v2,1.6527665168027232,6.19875037571431,5.0,1.1987503757143099,23.975007514286204,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_43\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,43,ga_seed,,baseline_normalized_v2,1.219926050198327,11.848388896192716,6.000000000000001,5.8483888961927155,97.47314826987858,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_43\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,44,ga_seed,,baseline_normalized_v2,0.9699831250617358,9.352769518166966,6.000000000000001,3.352769518166965,55.87949196944941,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_44\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,44,ga_seed,,baseline_normalized_v2,1.394912400555177,5.574357101401374,6.000000000000001,-0.4256428985986265,-7.094048309977108,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_44\gen_60\mpeg4\metrics.json
figure4,VOPD,thermal-only,ablation,B-2-v4-ablation,thermal-only,44,ga_seed,,baseline_normalized_v2,1.590330947851437,8.175912877249203,5.0,3.1759128772492033,63.51825754498406,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_44\gen_60\vopd\metrics.json
figure4,HNN,thermal-only,ablation,B-2-v4-ablation,thermal-only,44,ga_seed,,baseline_normalized_v2,1.2549344711080852,10.316255624195605,6.000000000000001,4.3162556241956045,71.93759373659341,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_44\gen_60\hnn\metrics.json
figure4,GEMM,thermal-only,ablation,B-2-v4-ablation,thermal-only,45,ga_seed,,baseline_normalized_v2,1.1488032440919005,9.674114451310825,6.000000000000001,3.6741144513108237,61.23524085518039,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_45\gen_60\gemm\metrics.json
figure4,MPEG4,thermal-only,ablation,B-2-v4-ablation,thermal-only,45,ga_seed,,baseline_normalized_v2,1.3027244663454698,6.558903998449435,6.000000000000001,0.5589039984494342,9.315066640823911,True,,D:\HNOCS\out\experimental results\B-2-v4-ablation\thermal-only\seed_45\gen_60\mpeg4\metrics.json
