figure,workload,method,seed,metric_group,metric_name,metric_label,unit,reference_method,reference_metric,method_metric,delta_vs_reference,relative_change_pct_vs_reference,full_objective_comparable_score,valid,validity_notes,metrics_path
figure3,GEMM,Full-GA,42,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,2.1434761400252804,1.4089998627280593,-0.7344762772972211,-34.265661445084184,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,thermal_safety,N_hot,N_hot,count,ReferenceMapping,6.0,0.0,-6.0,-100.0,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,performance,makespan_us,makespan,us,ReferenceMapping,120.405,116.7308,-3.674199999999999,-3.0515344047174153,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,performance,DVFS_penalty_pct,DVFS,%,ReferenceMapping,1.8350526805555563,0.0,-1.8350526805555563,-100.0,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,communication_pressure,comm_cost,comm,byte-hop,ReferenceMapping,104448.0,51200.0,-53248.0,-50.98039215686274,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,communication_pressure,congestion_proxy,congestion proxy,byte,ReferenceMapping,22528.0,8192.0,-14336.0,-63.63636363636363,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,mapping_balance,load_imbalance,load imbalance,ratio,ReferenceMapping,0.9202539178734378,0.9964292799047808,0.07617536203134301,8.27764604440613,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,GEMM,Full-GA,42,energy,total_PE_optical_energy_mJ,total energy,mJ,ReferenceMapping,1.5708734939939561,1.5165817477558798,-0.05429174623807631,-3.4561501257519556,3.799907180912859,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\gemm\metrics.json
figure3,MPEG4,Full-GA,42,thermal_safety,T_max_C,T_max,C,ReferenceMapping,54.44663874680003,51.816508380320045,-2.630130366479989,-4.830657001089101,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
figure3,MPEG4,Full-GA,42,thermal_safety,sigma_T_K,sigma_T,K,ReferenceMapping,1.3003837749577485,1.0198443512080955,-0.280539423749653,-21.57358690197193,4.216755651138596,True,,D:\HNOCS\out\experimental results\B-2-v4\seed_42\gen_60\mpeg4\metrics.json
