benchmark,sample_id,sample_seed,run_ok,valid_for_cost,failure_reason,TR2_composite_cost,T_max_C,makespan_s,total_PE_optical_energy_J,temperature_source,parsed_pe_count,mapping_csv,validity_notes
GEMM,84,84,True,True,,5.45180332277522,56.13451805411,0.000122765,0.0015697477890551075,vec,16,gemm\random\mappings\sample_084_seed_84.csv,
GEMM,85,85,True,True,,5.279689912277633,55.24531226489,0.0001214828,0.001566600492715111,vec,16,gemm\random\mappings\sample_085_seed_85.csv,
GEMM,86,86,True,True,,5.232227073671309,54.220052368480026,0.0001462969,0.0016771912892953982,vec,16,gemm\random\mappings\sample_086_seed_86.csv,
GEMM,87,87,True,True,,4.814457191851647,53.681086721450015,0.0001166927,0.0015174826466857032,vec,16,gemm\random\mappings\sample_087_seed_87.csv,
GEMM,88,88,True,True,,5.105484439939253,54.413907167310015,0.0001179869,0.0015280748620430822,vec,16,gemm\random\mappings\sample_088_seed_88.csv,
GEMM,89,89,True,True,,4.303739140067878,53.18212553186004,0.0001166787,0.0015161338999432974,vec,16,gemm\random\mappings\sample_089_seed_89.csv,
GEMM,90,90,True,True,,4.857363997388577,54.63485639172001,0.0001204369,0.0015487922912957842,vec,16,gemm\random\mappings\sample_090_seed_90.csv,
GEMM,91,91,True,True,,5.785624235678835,53.35370867635004,0.0001766028,0.001836362089956122,vec,16,gemm\random\mappings\sample_091_seed_91.csv,
GEMM,92,92,True,True,,4.742520674559558,53.152431344720014,0.0001465166,0.0016764928133421884,vec,16,gemm\random\mappings\sample_092_seed_92.csv,
GEMM,93,93,True,True,,5.676028037180149,54.67886911686003,0.0001664068,0.0017905789100095407,vec,16,gemm\random\mappings\sample_093_seed_93.csv,
GEMM,94,94,True,True,,4.748096354618335,54.53258088449002,0.0001176067,0.0015258021209344085,vec,16,gemm\random\mappings\sample_094_seed_94.csv,
GEMM,95,95,True,True,,5.264618657421782,54.21306765069005,0.0001670327,0.0017892375625869494,vec,16,gemm\random\mappings\sample_095_seed_95.csv,
GEMM,96,96,True,True,,5.214943032147534,55.08271312950001,0.0001187189,0.0015369779589652422,vec,16,gemm\random\mappings\sample_096_seed_96.csv,
GEMM,97,97,True,True,,5.332202779068686,54.77845576217004,0.000119659138,0.0015429824392870436,vec,16,gemm\random\mappings\sample_097_seed_97.csv,
GEMM,98,98,True,True,,5.420254762624408,53.20255236034001,0.0001668408,0.0017844699027033328,vec,16,gemm\random\mappings\sample_098_seed_98.csv,
GEMM,99,99,True,True,,4.948960786998512,53.22120976341,0.0001167246,0.0015182212886434246,vec,16,gemm\random\mappings\sample_099_seed_99.csv,
GEMM,100,100,True,True,,5.349007666989384,53.353712045550026,0.0001667289,0.0017842439616517812,vec,16,gemm\random\mappings\sample_100_seed_100.csv,
GEMM,101,101,True,True,,4.188147336824778,53.674622523350024,0.0001168567,0.001517690621887469,vec,16,gemm\random\mappings\sample_101_seed_101.csv,
GEMM,102,102,True,True,,5.357281597755427,52.98795983092003,0.0001663729,0.0017811494413122768,vec,16,gemm\random\mappings\sample_102_seed_102.csv,
GEMM,103,103,True,True,,5.712022799159027,55.14453644052003,0.0001201046,0.0015580038558258486,vec,16,gemm\random\mappings\sample_103_seed_103.csv,
GEMM,104,104,True,True,,5.729404209422469,54.917057061310004,0.0001485468,0.0016960273875790874,vec,16,gemm\random\mappings\sample_104_seed_104.csv,
GEMM,105,105,True,True,,5.029671219931715,53.220729607500004,0.0001463086,0.0016745824837701064,vec,16,gemm\random\mappings\sample_105_seed_105.csv,
GEMM,106,106,True,True,,5.586824236759749,54.74504628576,0.0001194149,0.0015440768219515376,vec,16,gemm\random\mappings\sample_106_seed_106.csv,
GEMM,107,107,True,True,,4.836789171735205,53.46637401124002,0.0001168067,0.0015190919692495072,vec,16,gemm\random\mappings\sample_107_seed_107.csv,
GEMM,108,108,True,True,,5.5090945120792165,54.245749324049996,0.0001673346,0.0017902637582474278,vec,16,gemm\random\mappings\sample_108_seed_108.csv,
GEMM,109,109,True,True,,5.874483460374979,54.471223262260025,0.0001665689,0.001785720404078515,vec,16,gemm\random\mappings\sample_109_seed_109.csv,
GEMM,110,110,True,True,,4.704521841241971,53.72494391987004,0.0001168106,0.0015184538276006745,vec,16,gemm\random\mappings\sample_110_seed_110.csv,
GEMM,111,111,True,True,,4.57059665957057,53.81142564806004,0.0001465549,0.0016767064686939105,vec,16,gemm\random\mappings\sample_111_seed_111.csv,
GEMM,112,112,True,True,,5.304671376474166,54.309780113550005,0.0001173407,0.0015250378917249306,vec,16,gemm\random\mappings\sample_112_seed_112.csv,
GEMM,113,113,True,True,,4.991440845969119,54.37428805708004,0.0001181188,0.0015290988523497004,vec,16,gemm\random\mappings\sample_113_seed_113.csv,
GEMM,114,114,True,True,,4.7868242685187266,55.00415268809002,0.0001202088,0.001546350505298589,vec,16,gemm\random\mappings\sample_114_seed_114.csv,
GEMM,115,115,True,True,,5.768683929857354,53.59868447563002,0.0001667428,0.0017840160950782387,vec,16,gemm\random\mappings\sample_115_seed_115.csv,
GEMM,116,116,True,True,,4.869980369467958,54.44171001118002,0.0001181747,0.0015302192611212596,vec,16,gemm\random\mappings\sample_116_seed_116.csv,
GEMM,117,117,True,True,,5.639252971421504,53.14333842309003,0.0001666508,0.0017820460753312833,vec,16,gemm\random\mappings\sample_117_seed_117.csv,
GEMM,118,118,True,True,,5.187860441311766,53.20272767249003,0.0001666991,0.00178318549877335,vec,16,gemm\random\mappings\sample_118_seed_118.csv,
GEMM,119,119,True,True,,4.796263115272551,54.56864221954004,0.0001186367,0.0015328767486080016,vec,16,gemm\random\mappings\sample_119_seed_119.csv,
GEMM,120,120,True,True,,4.984586060467883,53.32700600934004,0.0001168426,0.0015187163421406637,vec,16,gemm\random\mappings\sample_120_seed_120.csv,
GEMM,121,121,True,True,,5.266936053351513,52.99434796105004,0.0001665348,0.0017813866023029927,vec,16,gemm\random\mappings\sample_121_seed_121.csv,
GEMM,122,122,True,True,,4.390017864823803,53.74209783301001,0.0001169049,0.0015183489793390433,vec,16,gemm\random\mappings\sample_122_seed_122.csv,
GEMM,123,123,True,True,,5.224264672965163,54.37081119627004,0.0001663607,0.0017842042307901302,vec,16,gemm\random\mappings\sample_123_seed_123.csv,
GEMM,124,124,True,True,,5.307414564618432,55.07900172093002,0.0001203027,0.0015512981121881071,vec,16,gemm\random\mappings\sample_124_seed_124.csv,
GEMM,125,125,True,True,,4.803455370780989,55.00089520321001,0.0001183566,0.001531718056797782,vec,16,gemm\random\mappings\sample_125_seed_125.csv,
GEMM,126,126,True,True,,5.371888831422683,54.84898282935001,0.000120075,0.0015443528188714129,vec,16,gemm\random\mappings\sample_126_seed_126.csv,
GEMM,127,127,True,True,,5.283166025616745,53.30236232955002,0.0001665188,0.0017834495075755468,vec,16,gemm\random\mappings\sample_127_seed_127.csv,
GEMM,128,128,True,True,,5.266521771822958,54.85377374005003,0.0001184548,0.0015400765209331458,vec,16,gemm\random\mappings\sample_128_seed_128.csv,
GEMM,129,129,True,True,,5.333289294718848,54.316461384440004,0.0001464526,0.0016779517322621017,vec,16,gemm\random\mappings\sample_129_seed_129.csv,
GEMM,130,130,True,True,,5.009456293758658,53.48949027618005,0.0001661846,0.0017810158872290775,vec,16,gemm\random\mappings\sample_130_seed_130.csv,
GEMM,131,131,True,True,,4.607315583619194,53.52226147017001,0.0001170511,0.0015193547763908727,vec,16,gemm\random\mappings\sample_131_seed_131.csv,
GEMM,132,132,True,True,,4.86664556380517,54.70041741944004,0.0001183229,0.001532336662662149,vec,16,gemm\random\mappings\sample_132_seed_132.csv,
GEMM,133,133,True,True,,5.479047623849272,54.91576392370001,0.0001664386,0.0017956208743654168,vec,16,gemm\random\mappings\sample_133_seed_133.csv,
